sentence_id,sentence
SEN-00001,மெய்யன்பு
SEN-00002,கல்லடி
SEN-00003,உள்ளறை
SEN-00004,பூச்செடி
SEN-00005,குழலோசை
SEN-00006,பலாக் கொட்டை
SEN-00007,ஆட்டுத் தலை
SEN-00008,குதிரைக் குளம்பு
SEN-00009,உயிர்ச் சேதம்
SEN-00010,தமிழ்ப் பணி
SEN-00011,முதல் பாடம்
SEN-00012,பொன் தகடு
SEN-00013,ஆட்குறைப்பு
SEN-00014,பொற்குடம்
SEN-00015,எண்ணெய்ச் சட்டி
SEN-00016,மிளகாய்த் தோட்டம்
SEN-00017,தமிழ்ப் பாடம்
SEN-00018,இறுதி ஆண்டு
SEN-00019,றுறுராட்சி ஒன்றியம்
SEN-00020,விண்வெளி ஓடம்
SEN-00021,கொண்டை ஊசி
SEN-00022,சோடா உப்பு
SEN-00023,பச்சை உடம்பு
SEN-00024,காரிருள்
SEN-00025,நற்செயல்
SEN-00026,பேராசை
SEN-00027,மாபெரும்
SEN-00028,மூவுலகு
SEN-00029,வெண்தாடி
SEN-00030,கெட்ட பழக்கம்
SEN-00031,சிறிய வீடு
SEN-00032,நல்ல பெயர்
SEN-00033,புதிய உலகம்
SEN-00034,வெறும் ஓசை
SEN-00035,இதுபற்றி
SEN-00036,கிளைமீது
SEN-00037,ஆள்மூலம்
SEN-00038,கூரைமேல்
SEN-00039,இதைப் பற்றி
SEN-00040,ணூளையின் மீது
SEN-00041,ஆளின் மூலம்
SEN-00042,கூரைக்கு மேல்
SEN-00043,பழக்கமாகு
SEN-00044,வளர்தொழில்
SEN-00045,வெடிபொருள்
SEN-00046,பாசமிகு தம்பி
SEN-00047,புலனறி உணர்வு
SEN-00048,சிரித்துக்கொண்டான்
SEN-00049,கொண்டான்)
SEN-00050,கொடுத்தாயிற்று
SEN-00051,போய்த்தொலை
SEN-00052,துண்டிக்கப்பட்டுவிட்டது
SEN-00053,பட்டு விட்டது)
SEN-00054,கிடைக்கப்பெற்றேன்
SEN-00055,பெற்றேன்)
SEN-00056,போகச்செய்தேன்.
SEN-00057,குழந்தையைத் தூங்கப்பண்ணு.
SEN-00058,என்னை அழவைத்தான்.
SEN-00059,செய்
SEN-00060,", பண்ணு"
SEN-00061,", வை"
SEN-00062,உருண்டோடியது
SEN-00063,காய்கனி
SEN-00064,கணக்குவழக்கு
SEN-00065,கஷ்டநஷ்டம்
SEN-00066,கைகால்
SEN-00067,தாய்தந்தை
SEN-00068,முத்துமுத்தாக
SEN-00069,வேறிடம்: வேறு இடத்தில்
SEN-00070,வேறுசில: வேறு சிலவும்
SEN-00071,வேறுபல: வேறு பலவற்றை
SEN-00072,போயே தொலைந்தான்
SEN-00073,பறந்தோ போகும் (பறந்துபோகும்)
SEN-00074,அழவும் வைத்தான் (அழவைத்தான்)
SEN-00075,ரூகையோ நட்டோ (நகைநட்டு)
SEN-00076,ணூணக்காவது வழக்காவது
SEN-00077,அத்தகுதி
SEN-00078,அவ்வூரில்
SEN-00079,நான் குழப்பம் அடைந்திருக்கிறேன்.
SEN-00080,என் கையெழுத்து அல்ல.
SEN-00081,மகள் அல்ல. மருமகள்.
SEN-00082,நீ கேட்டாலல்லவா கிடைக்கும்?
SEN-00083,"நீ கேட்டால் கிடைக்கும், அல்லவா?"
SEN-00084,"நீ குமாருடைய தம்பி, அல்லவா?"
SEN-00085,மாரளவுக்கு
SEN-00086,அவன் அடிக்குமளவுக்குப் போய்விட்டான்.
SEN-00087,நீ வேண்டுமளவு சாப்பிடலாம்.
SEN-00088,எல்லாரும் புரிந்துகொள்ளும் அளவில் இல்லை.
